VOYAGEID,ARRPORT,CAPTAINA,CREW1,CREW2,D1SLATRA,D1SLATRB,D1SLATRC,DATARR32,DATARR33,DATARR34,DATEDEP,DATEDEPA,DATEDEPAM,DATEDEPB,DATEDEPC,DATEEND,DATELAND1,DATELAND2,DEPTREGIMP,DEPTREGIMP1,DLSLATRA,DLSLATRB,DLSLATRC,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,OWNERA,OWNERB,OWNERC,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,XMIMPFLAG,YEAR5,YEAR10,YEAR25,YEAR100,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,filter_$
249,50422,"Silva, Manoel Inácio da",,,,,1820,15,3,1821,1820-03-15,15,,3,1820,,1821-03-15,,50400,50000,,2,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Mota, Frutuoso Luís da",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Elisa,50422,342,,,158,342,,500,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","GRJ,18/03/1820",,,,500,,500,365,50,50,158,0.32,81,65,33,13,1800,1821,1821,1820,,,0
250,,"Magalhães, João de Melo",,,,,,15,3,1821,,,,,,,1821-03-15,,50400,50000,,,,,,,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Silva, Amaro Velho da",,,60734,,,,,,,50499,,,50400,,,60700,1,,,,,,Maria Tomásia,50422,367,,,17,367,,384,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,,,,,,384,,384,,32,32,17,0.04,19,65,33,13,1800,1821,1821,1821,,,0
251,,"Silva, João Henriques da",,,,9,1820,19,3,1821,1820-07-19,19,,7,1820,,1821-03-19,,50400,50000,31,12,1820,60822,,60800,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Vieira, José Inácio Vaz",,,60822,,,,,50422,,50422,,,50400,,,60800,25,,,,,,Leopoldina,50422,433,,,22,433,,455,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,22/07/1820",CapelaNotes,"AHU,Moçambique, Cx 172 No 76","AHU,Moçambique, Cx 174 No 89",,455,,455,243,78,74,22,0.05,63,65,33,13,1800,1820,1821,1820,,,0
252,50422,"Loureiro, Joaquim José da Silva",,,,,,19,3,1821,1820-08-05,5,,8,1820,,1821-03-19,,50400,50000,,,,60707,,60700,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Ferreira, João Antônio",,,60707,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Esperança,50422,285,,,196,385,,581,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"ANRJ, SM IV M - Liv.336 - Diversos,p.68","GRJ,09/08/1820",,,,581,,581,226,36,36,196,0.34,81,65,33,13,1800,1821,1821,1820,,,0
253,,"Faria, Manoel de Jesus",,,,,,23,3,1821,1820-08-08,8,,8,1820,,1821-03-23,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Barroso, João Gomes",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,S Rosa,50422,395,,,36,395,,431,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,12/08/1820",,,,,431,,431,227,39,39,36,0.08,81,65,33,13,1800,1821,1821,1820,,,0
254,50422,"Oliveira, José Malaquias de",,,,,1820,31,3,1821,1820-08-13,13,,8,1820,,1821-03-31,,50400,50000,,2,1821,60734,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Macedo, Joaquim Teixeira de",,,60734,60711,,,,50422,,50422,50400,,50400,,,60700,1,,,,,,S José Diligente Vulcano,50422,287,,,25,287,,312,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.68v","GRJ,16/08/1820",,,312,,312,230,42,42,25,0.08,19,65,33,13,1800,1821,1821,1820,,,0
255,50299,"Silva, José Jorge da",34,,,10,1820,31,3,1821,1820-06-16,16,,6,1820,,1821-03-31,,50200,50000,12,12,1820,60822,,60800,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Virgolino, Maria Antônio Leite de Melo",,,60822,,,,,50299,,50299,50200,,50400,,,60800,1,,,,,,NS da Guia Morgado do Almeo,50422,430,,,20,430,,450,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHMS, 27,2, p. 47v",CapelaNotes,"AHU,Moçambique, Cx 172 No 76","AHU,Moçambique, Cx 174 No 30",,450,,450,288,109,69,20,0.04,19,65,33,13,1800,1820,1821,1820,,,0
256,,"Oliveira, Sérgio Ferreira de",,,,,,31,3,1821,1820-08-04,4,,8,1820,,1821-03-31,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Rocha, José Francisco Ferreira da",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Grão Penedo,50422,284,,,93,281,,374,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,09/08/1820",,,,,374,,374,239,58,58,93,0.25,81,65,33,13,1800,1821,1821,1820,,,0
257,50422,"Mignani, Joaquim Vicente",,,,,1820,24,4,1821,,,,,,,1821-04-24,,50200,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Florin, Jose Inácio da Costa",,,60734,,,,,50299,,50299,50400,,50400,,,60700,40,,,,,,Conde dos Arcos,50422,439,,,22,439,,461,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5",,,,,461,,461,,47,47,22,0.05,81,65,33,13,1800,1821,1821,1820,,,0
258,,"Lopes, Francisco da Silva",,,,,,13,5,1821,1820-08-27,27,,8,1820,,1821-05-13,,50400,50000,,,,60822,,60800,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Vieira, José Inácio Vaz",,,60822,,,,,50422,,50422,,,50400,,,60800,40,,,,,,Reino do Brasil,50422,378,,,150,378,,528,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,30/08/1820",,,,,528,,528,259,66,66,150,0.28,81,65,33,13,1800,1821,1821,1820,,,0
259,50422,"Santos, José Maria dos",,,,,1821,13,5,1821,1820-06-24,24,,6,1820,,1821-05-13,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Guimarães, Francisco José",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,S José Diligente Vulcano,50422,225,,,100,225,,325,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.66","GRJ,28/06/1820",,,325,,325,323,49,49,100,0.31,81,65,33,13,1800,1821,1821,1820,,,0
260,50422,"Castro, Nicolau Joaquim de",,,,,,19,5,1821,,,,,,,1821-05-19,,50400,50000,29,1,1821,,,,,TRUE,1,1,14,1,60820,60800,60000,50422,60820,50400,50000,50422,6,,"Correa, Antônio Marques",,,60820,,,,,,,50499,50400,,50400,,,60800,1,,,,,,NS do Baluarte,50422,365,,,10,365,,375,,332,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,CapelaNotes,"AHU,Moçambique, Cx 175 No 12",,,,375,,375,,110,99,10,0.03,19,65,33,13,1800,1821,1821,1821,,,0
261,50399,"Santos, José Vitorino dos",,,,,1821,23,5,1821,,,,,,,1821-05-23,,50200,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Vale, João Gomes",,,60734,,,,,50299,,50299,50300,,50400,,,60700,40,,,,,,NS da Conceição e Sr dos Passos,50422,113,,,89,113,,202,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5",,,,,202,,202,,32,32,89,0.44,81,65,33,13,1800,1821,1821,1821,,,0
262,,,,,,,,27,5,1821,,,,,,,1821-05-27,,50400,50000,,,,60820,,,,TRUE,1,1,14,1,,60800,60000,50422,60899,50400,50000,50422,6,,,,,,,,,,,,50499,,,50400,,,60800,1,,,,,,,50422,429,,,21,429,,450,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",,,,,,,450,,450,,,,21,0.05,19,65,33,13,1800,1821,1821,1821,,,0
263,50422,"Silva, José Leite da",,,,,1821,23,6,1821,1820-10-15,15,,10,1820,,1821-06-23,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Rocha, Antônio Ferreira da",,,60734,,,,,50422,,50422,50400,,50400,,,60700,25,,,,,,S Antônio Destemido,50422,680,,,61,680,,741,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.69v",,,,741,,741,251,36,36,61,0.08,63,65,33,13,1800,1821,1821,1820,,,0
265,50299,"Leonardo, Severo",28,,,,,7,7,1821,1820-09-20,20,,9,1820,,1821-07-07,,50200,50000,,,1821,60725,60711,60700,60700,TRUE,124,1,3,3,60610,60600,60000,50422,60610,50400,50000,50422,6,5,"Moreira, Manoel Francisco",,,60610,,,,,50299,,50299,50200,,50400,,,60600,2,,,,,,Emília,50422,354,,,61,354,,415,,,"PP,1845,XLIX:593-633","FO84/12,Gregory,Fitzgerald,21,08,27","Verger,568","Manchester,180-3","AHI, Coleções Especiais, Lata 13, Maços","APEB, cod 456,p.297v","AHMS, 27,2, p. 50v",,415,396,415,290,25,25,61,0.15,24,65,33,13,1800,1821,1821,1820,,,0
266,50422,"Pereira, Silvestre Manoel",,,,,1821,7,8,1821,1820-10-20,20,,10,1820,,1821-08-07,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Melo, José José de",,,60734,,,,,50422,,50422,50400,,50400,,,60700,25,,,,,,Santana Flor de Luanda,50422,514,,,52,514,,566,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.70","GRJ,25/10/1820",,,566,,566,291,33,33,52,0.09,63,65,33,13,1800,1821,1821,1820,,,0
267,50422,"Pereira, Albino Mariano dos Santos",,,,,1821,11,8,1821,1820-09-06,6,,9,1820,,1821-08-11,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Leite, José Ferreira",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Feliz Dias,50422,227,,,27,227,,254,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.69",,,,254,,254,339,53,53,27,0.11,81,65,33,13,1800,1821,1821,1820,,,0
268,50422,"Branco, Antônio Rodrigues",,,,,1821,11,8,1821,1820-12-04,4,,12,1820,,1821-08-11,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Macedo, Diogo Teixeira de",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Mariana Dáfne,50422,460,,,21,460,,481,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","GRJ,06/12/1820",,,,481,,481,250,35,35,21,0.04,81,65,33,13,1800,1821,1821,1820,,,0
269,50422,"Silva, José Pereira da",,,28,12,1820,18,8,1821,1820-11-17,17,,11,1820,,1821-08-18,,50400,50000,17,5,1821,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Rocha, Joaquim José da",,,60707,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Ligeiro,50422,339,,,69,339,,408,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Caixa 134 (Luanda), Avulsos","ANRJ, SM IV M - Liv.336 - Diversos,p.70v","GRJ,21/11/1820",,,408,,408,274,93,40,69,0.17,81,65,33,13,1800,1821,1821,1820,,,0
270,50422,"Batalha, Luís Antônio",,,,,1821,26,8,1821,,,,,1820,,1821-08-26,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Vale, João Gomes",,,60734,,,,,50422,,50422,50400,,50400,,,60700,25,,,,,,Amália,50422,734,,,25,734,,759,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.70v",,,,759,,759,,26,26,25,0.03,63,65,33,13,1800,1821,1821,1820,,,0
271,,"Coelho, Manoel Gomes",,,,,,29,8,1821,1821-02-10,10,,2,1821,,1821-08-29,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Lessa, Bernardo Francisco",,,60734,,,,,50422,,50422,,,50400,,,60700,2,,,,,,Urânia,50422,270,,,34,270,,304,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,14/02/1821",,,,,304,,304,200,32,32,34,0.11,24,65,33,13,1800,1821,1821,1821,,,0
272,,"Rodrigues, Francisco de Paula",,,,,,21,9,1821,1821-03-12,12,,3,1821,,1821-09-21,,50400,50000,,,,60799,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Santos, Joaquim Ferreira dos",,,60734,,,,,50422,,50422,,,50400,,,60700,25,,,,,,Mercantil,50422,683,,,60,683,,743,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,14/03/1821",,,,,743,,743,193,25,25,60,0.08,63,65,33,13,1800,1821,1821,1821,,,0
273,50422,"Pena, José Antônio",,,,,1821,8,10,1821,1821-01-23,23,,1,1821,,1821-10-08,,50400,50000,,9,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Alcântara, Marcelino José de",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,General Rêgo,50422,452,,,58,452,,510,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.71v","GRJ,27/01/1821",,,510,,510,258,36,36,58,0.11,81,65,33,13,1800,1821,1821,1821,,,0
274,50422,"Fernandes, José Antônio",,,,,1821,12,10,1821,1821-01-13,13,,1,1821,,1821-10-12,,50400,50000,,10,1821,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Vieira, João Batista Luís",,,60734,,,,,50422,,50422,50400,,50400,,,60700,13,,,,,,Bela Americana,50422,374,,,121,374,,495,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.71","GRJ,17/01/1821",,,495,,495,272,35,35,121,0.24,54,65,33,13,1800,1821,1821,1821,,,0
275,,"Lourenço, Valério",32,,,,,12,10,1821,1821-04-09,9,,4,1821,,1821-10-12,,10200,10000,,,,60711,,60700,,TRUE,49,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,4,"Bastos, Manoel Teixeira","Male, José Joaquim",,60734,,,,,10203,,10203,,,50400,,,60700,25,,,,,,Indústria,50422,496,,,15,496,,511,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"ANTT,JC,Lv.66,Cx.38","ANTT,JC,Mç62,Cx204","ANTT,JC,Mç37,Cx128",,,511,,511,186,38,38,15,0.03,63,65,33,13,1800,1821,1821,1821,,,0
276,,"Cruz, José Joaquim da",,,,,,28,10,1821,1821-02-28,28,,2,1821,,1821-10-28,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Ribeiro, José de Carvalho",,,60703,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Seis de Fevereiro,50422,449,,,1,449,,450,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,03/03/1821",,,,,450,,450,242,48,48,1,0,81,65,33,13,1800,1821,1821,1821,,,0
277,50422,"Pereira, Francisco Manoel",,,,,1821,7,11,1821,1821-02-17,17,,2,1821,,1821-11-07,,50400,50000,,10,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Guimarães, Francisco José",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Imperador Feliz,50422,507,,,72,507,,579,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.71v",,,,579,,579,263,35,35,72,0.12,81,65,33,13,1800,1821,1821,1821,,,0
278,50422,"Lima, José Joaquim de",,,,,,8,11,1821,1821-02-24,24,,2,1821,,1821-11-08,,50400,50000,,,,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Ferreira, João Antônio",,,60707,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,S Pedro do Sul,50422,390,,,17,390,,407,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"ANRJ, SM IV M - Liv.336 - Diversos,p.72","GRJ,28/02/1821",,,,407,,407,257,37,37,17,0.04,81,65,33,13,1800,1821,1821,1821,,,0
279,50422,"Silva, Caetano Alberto da",,,,,,17,11,1821,1821-03-19,19,,3,1821,,1821-11-17,,50400,50000,,,,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Gomes, Miguel Ferreira",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Luís,50422,500,,,44,500,,544,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"ANRJ, SM IV M - Liv.336 - Diversos,p.72v","GRJ,21/03/1821",,,,544,,544,243,45,45,44,0.08,81,65,33,13,1800,1821,1821,1821,,,0
280,50422,"Pientenauzer, Firmo Antônio",,,,,,23,11,1821,1820-07-17,17,,7,1820,,1821-11-23,,50400,50000,,,,60711,60799,60700,60700,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Loureiro, Domingos Gomes Duarte",,,60711,,,,,50422,,50422,50400,,50400,,,60700,25,,,,,,Henriqueta,50422,561,,,12,561,,573,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"ANRJ, SM IV M - Liv.336 - Diversos,p.67v","GRJ,19/07/1820",,,,573,,573,494,30,30,12,0.02,63,65,33,13,1800,1821,1821,1820,,,0
281,,"Oliveira, Antônio Xavier de",,,,,,23,11,1821,1821-06-06,6,,6,1821,,1821-11-23,,50400,50000,,,,60799,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Santos, Joaquim Ferreira dos",,,60734,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Tejo,50422,388,,,80,388,,468,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,09/06/1821",,,,,468,,468,170,39,39,80,0.17,81,65,33,13,1800,1821,1821,1821,,,0
282,,"Henriques, João Militão",,,,,,25,11,1821,1821-05-10,10,,5,1821,,1821-11-25,,50400,50000,,,,60822,,60800,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Farinha, Joaquim Pires",,,60822,,,,,50422,,50422,,,50400,,,60800,40,,,,,,Feliz Americano,50422,446,,,,446,,492,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,16/05/1821",,,,,,,,199,60,60,,,81,65,33,13,1800,1821,1821,1821,,,0
283,50422,"Pedrosa, Manoel Carvalho",,,,,,28,11,1821,1821-05-16,16,,5,1821,,1821-11-28,,50400,50000,5,10,1821,60820,,60800,,TRUE,1,1,14,1,60820,60800,60000,50422,60820,50400,50000,50422,6,,"Carvalho, Manoel Gonçalves de",,,60820,,,,,50422,,50422,50400,,50400,,,60800,40,,,,,,Polifemo,50422,394,,,,394,,394,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"GRJ,26/05/1821",CapelaNotes,"AHU,Moçambique, Cx 181 No 60",,,394,,394,196,54,54,0,0,81,65,33,13,1800,1821,1821,1821,,,0
284,50422,"Gonçalves, Joaquim José",,,,,1821,4,12,1821,1821-05-04,4,,5,1821,,1821-12-04,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Vale, João Gomes",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Caçador,50422,523,,,86,523,,609,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.73","GRJ,09/05/1821",,,609,,609,214,28,28,86,0.14,81,65,33,13,1800,1821,1821,1821,,,0
285,,,,,,,,5,12,1821,,,,,,,1821-12-05,,50400,50000,,,,,,,,TRUE,1,1,14,1,,60900,60000,50422,60999,50400,50000,50422,6,,,,,,,,,,,,50499,,,50400,,,,1,,,,,,,50422,516,,,79,516,,595,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,,,,,,595,,595,,29,29,79,0.13,19,65,33,13,1800,1821,1821,1821,,,0
286,50422,"Teixeira, Jacinto Alves",,,,,,18,12,1821,,,,,,,1821-12-18,,50400,50000,18,10,1821,,,,,TRUE,49,1,14,1,60820,60800,60000,50422,60820,50400,50000,50422,6,,"Souza, Luís Inácio de",,,60820,,,,,,,50499,50400,,50400,,,60800,4,,,,,,Novo Despique,50422,322,,,128,322,,450,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,CapelaNotes,"AHU,Moçambique,Cx 181 No 60",,,,450,,450,,61,61,128,0.28,35,65,33,13,1800,1821,1821,1821,,,0
287,50422,"Pederneira, Manoel Pereira",,,,,1821,23,12,1821,1821-05-27,27,,5,1821,,1821-12-23,,50400,50000,,,1821,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Souza, Domingos de Carvalho e",,,60734,,,,,50422,,50422,50400,,50400,,,60700,3,,,,,,Patrocínio,50422,310,,,48,310,,358,,,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","GRJ,30/05/1821",,,,358,,358,210,33,33,48,0.13,30,65,33,13,1800,1821,1821,1821,,,0
288,,,,,,,,15,11,1822,,,,,,,1822-11-15,,,,,,,,,,,TRUE,1,1,14,1,,60900,60000,32240,60999,32200,30000,32240,6,,,,,,,,,,,,,,,32200,,,,4,,,,,,,32240,500,,,,500,,607,,,"PP,1845,XLIX:593-633","FO84/26,ff.16-17",,,,,,,,,,,,,,,35,65,33,13,1800,1822,1822,1822,,,0
289,50399,"Almeida, Francisco Joaquim de",,,,,,10,1,1822,,,,,,,1822-01-10,,10200,10000,19,10,1821,,,,,TRUE,1,1,14,1,60820,60800,60000,50102,60820,50100,50000,50102,6,4,"Silveira, José Nunes da*",,,60820,,,,,10203,,10203,50300,,50100,,,60800,40,,,,,,Delfim,50102,137,,,84,137,,221,,,"PP,1845,XLIX:593-633","AHI, Coleções Especiais, Lata 9, Maço 3,",OCM:22.01.12,CapelaNotes,"AHU,Moçambique, Cx 181 No 60",,,,221,,221,,83,91,84,0.38,81,65,33,13,1800,1821,1822,1821,,,0
290,50102,"Silva, João Batista da",17,,,,1822,21,3,1822,1821-06-06,6,,6,1821,,1822-03-21,,10200,10000,,,1822,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50102,60734,50100,50000,50102,6,4,"Ferreira, Antônio José Meireles*",,,60799,,,,,10203,,10203,50100,,50100,,,60700,40,,,,,,Triunfo da Inveja,50102,38,,,93,38,,131,,,"PP,1845,XLIX:593-633",OCM:22.03.27,"AHNA, Códice D-1-5","ANTT,JC,Mç62,Cx204","ANTT,JC,Lv66,Cx38;Mç37,Cx128","AHMOP,SGC4,Lv2",,,131,,131,288,23,23,93,0.71,81,65,33,13,1800,1822,1822,1821,,,0
291,,"Alves, Isidoro",,,,,,6,5,1822,1821-05-04,4,,5,1821,,1822-05-06,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60717,60700,60000,50102,60717,50100,50000,50102,6,4,,,,60717,,,,,50422,,50422,,,50100,,,60700,40,,,,,,S José Diligente Vulcano,50102,410,,,8,410,,418,,,"PP,1845,XLIX:593-633",OCM:22.05.18,"GRJ,09/05/1821",,,,,,418,,418,367,30,30,8,0.02,81,65,33,13,1800,1822,1822,1821,,,0
292,50102,"Coelho, João Antônio",,75,4,1,1822,26,7,1822,1821-10-09,9,1822-10-11,10,1821,1822-12-05,1822-07-26,,10200,10000,,,,60104,60105,60100,60100,TRUE,1,1,14,1,60104,60100,60000,50102,60104,50100,50000,50102,6,4,"Pinto, Antônio José","Coelho, João Antônio",,60104,,,21999,,10203,10203,10203,50100,,50100,,,60100,1,,,,,,General D Antônio,50102,224,,,23,224,,247,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/110","AHU,CaboVerde,Cx.101,D.27",Frutuoso:711,,,,,247,,247,290,,,23,0.09,19,65,33,13,1800,1822,1822,1821,,,0
293,50102,"Couto, João Batista do",20,,,,,12,8,1822,1821-09-17,17,,9,1821,,1822-08-12,,10200,10000,,5,1822,60707,60799,60700,60700,TRUE,49,1,14,1,60799,60700,60000,50102,60734,50100,50000,50102,6,4,"Ferreira, Antônio José Meireles",,,60799,,,,,10203,,10203,50100,,50100,,,60700,1,,,,,,Bom Caminho,50102,441,,,43,441,,484,,,"PP,1845,XLIX:593-633","IUP,ST,9/B2/22","FO84/26,SierraLeoneGazette,22.08.31",OCM:22.09.07,"ANTT,JC,Mç62,Cx204","AHMOP,SGC4,Lv2",,,484,,484,329,28,28,43,0.09,19,65,33,13,1800,1822,1822,1821,,,0
294,,"Chaves, Antônio dos Santos",,,,,,16,8,1822,,,,,,,1822-08-16,,,,,,,,,,,TRUE,1,1,14,1,60104,60100,60000,50102,60104,50100,50000,50102,6,4,"Pinto, Antônio José",,,60104,,,,,,,,,,50100,,,60100,5,,,,,,Maria,50102,130,,,,130,,146,,,"IUP,ST,11/B/110",OCM:22.09.07,,,,,,,,,,,36,36,,,38,65,33,13,1800,1822,1822,1822,,,0
